               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.076555,            0.012273,            0.013885,             0.64401,             0.47262,             0.66881,             0.32277,            0.048825,           0.0097824,           0.0044192,            0.009307,            0.009307,            0.009307
                  37,             0.07342,            0.013204,            0.012828,             0.42994,              0.9501,              0.7572,              0.3555,             0.04075,            0.010394,           0.0045348,           0.0092872,           0.0092872,           0.0092872
                  38,            0.067354,            0.014038,            0.010841,             0.47098,             0.62247,              0.5375,             0.14724,            0.040141,            0.010045,            0.015244,           0.0092674,           0.0092674,           0.0092674
                  39,            0.068603,            0.013704,            0.010681,             0.34189,             0.90357,              0.6818,             0.23831,            0.047869,            0.010557,           0.0044332,           0.0092476,           0.0092476,           0.0092476
                  40,            0.078949,             0.01247,           0.0098703,             0.34189,             0.90357,              0.6818,             0.23831,            0.047869,            0.010557,           0.0044332,           0.0092278,           0.0092278,           0.0092278
                  41,            0.073216,            0.012295,           0.0092901,             0.42958,             0.92738,             0.72647,             0.24182,            0.045855,           0.0097847,           0.0041839,            0.009208,            0.009208,            0.009208
                  42,            0.069528,            0.012271,           0.0093996,             0.59171,             0.95119,             0.62136,             0.39408,            0.042618,           0.0095946,            0.003957,           0.0091882,           0.0091882,           0.0091882
                  43,            0.067513,            0.012582,            0.008459,             0.45126,             0.85595,             0.55917,             0.11553,            0.055452,           0.0076296,           0.0037032,           0.0091684,           0.0091684,           0.0091684
                  44,            0.087018,            0.010817,            0.010124,             0.45126,             0.85595,             0.55917,             0.11553,            0.055452,           0.0076296,           0.0037032,           0.0091486,           0.0091486,           0.0091486
                  45,            0.084401,            0.011791,           0.0072481,             0.57233,             0.90476,             0.61694,             0.08066,            0.053468,           0.0072102,           0.0036173,           0.0091288,           0.0091288,           0.0091288
                  46,            0.083591,           0.0097018,           0.0065871,             0.32815,             0.82857,             0.42077,            0.065821,             0.05207,           0.0072247,           0.0038108,            0.009109,            0.009109,            0.009109
                  47,            0.080248,            0.011946,           0.0092886,              0.5529,             0.95238,             0.68821,             0.17724,            0.041896,           0.0065914,           0.0038535,           0.0090892,           0.0090892,           0.0090892
                  48,            0.072953,            0.011742,            0.014068,              0.5529,             0.95238,             0.68821,             0.17724,            0.041896,           0.0065914,           0.0038535,           0.0090694,           0.0090694,           0.0090694
                  49,            0.068408,            0.012488,           0.0081423,             0.72415,             0.80589,             0.79664,              0.3167,            0.038822,           0.0064658,           0.0040304,           0.0090496,           0.0090496,           0.0090496
                  50,            0.065182,            0.012735,            0.012585,             0.86849,             0.90316,             0.90653,             0.39296,            0.037865,           0.0062695,           0.0041738,           0.0090298,           0.0090298,           0.0090298
                  51,            0.060269,            0.013959,           0.0080935,             0.61474,             0.90476,             0.85213,             0.20802,            0.040884,           0.0069324,           0.0043777,             0.00901,             0.00901,             0.00901
                  52,            0.074822,            0.013114,             0.00967,             0.61474,             0.90476,             0.85213,             0.20802,            0.040884,           0.0069324,           0.0043777,           0.0089902,           0.0089902,           0.0089902
                  53,            0.068833,           0.0099495,           0.0087206,             0.61168,             0.90476,             0.77933,             0.20236,            0.041924,           0.0081458,           0.0042596,           0.0089704,           0.0089704,           0.0089704
                  54,            0.070189,            0.011905,           0.0078435,             0.51726,             0.92857,             0.86935,             0.21164,            0.042283,            0.008664,           0.0039811,           0.0089506,           0.0089506,           0.0089506
                  55,            0.067817,            0.010717,           0.0076078,             0.62022,             0.97619,             0.64235,             0.26768,            0.042816,           0.0083735,           0.0038857,           0.0089308,           0.0089308,           0.0089308
                  56,            0.070588,            0.011323,           0.0080452,             0.62022,             0.97619,             0.64235,             0.26768,            0.042816,           0.0083735,           0.0038857,            0.008911,            0.008911,            0.008911
                  57,            0.066091,             0.01128,            0.010214,             0.66598,             0.97619,             0.66504,             0.36446,             0.04452,           0.0081192,           0.0037931,           0.0088912,           0.0088912,           0.0088912
                  58,            0.065464,            0.011156,           0.0090895,             0.95446,             0.76641,             0.97848,             0.34966,            0.037678,           0.0071172,           0.0037704,           0.0088714,           0.0088714,           0.0088714
                  59,            0.064806,             0.01106,           0.0088799,             0.86914,             0.84516,             0.94829,             0.60195,            0.045515,           0.0061297,           0.0037544,           0.0088516,           0.0088516,           0.0088516
                  60,            0.070734,            0.012154,            0.009966,             0.86914,             0.84516,             0.94829,             0.60195,            0.045515,           0.0061297,           0.0037544,           0.0088318,           0.0088318,           0.0088318
                  61,            0.069797,            0.010899,            0.009735,             0.67675,             0.90119,             0.81892,              0.4126,            0.046358,           0.0058356,           0.0038688,            0.008812,            0.008812,            0.008812
                  62,            0.072147,            0.010438,           0.0075472,             0.71926,             0.65119,             0.76756,             0.25019,            0.044602,           0.0056935,           0.0040637,           0.0087922,           0.0087922,           0.0087922
                  63,            0.068219,            0.011708,             0.01129,             0.76261,             0.97586,             0.98855,              0.6289,            0.032865,           0.0056201,           0.0046125,           0.0087724,           0.0087724,           0.0087724
                  64,            0.059457,            0.011535,            0.010714,             0.76261,             0.97586,             0.98855,              0.6289,            0.032865,           0.0056201,           0.0046125,           0.0087526,           0.0087526,           0.0087526
                  65,            0.056885,             0.01221,           0.0095385,             0.87042,             0.95987,             0.97555,             0.68729,            0.030224,           0.0056574,           0.0047937,           0.0087328,           0.0087328,           0.0087328
                  66,            0.056908,             0.01077,            0.010238,             0.76878,             0.92619,              0.9348,              0.3825,            0.032838,           0.0057594,           0.0042871,            0.008713,            0.008713,            0.008713
                  67,            0.058994,             0.01261,           0.0079658,               0.651,             0.95119,             0.76414,             0.36342,            0.033896,           0.0056678,           0.0039855,           0.0086932,           0.0086932,           0.0086932
                  68,            0.061242,            0.011121,            0.011242,               0.651,             0.95119,             0.76414,             0.36342,            0.033896,           0.0056678,           0.0039855,           0.0086734,           0.0086734,           0.0086734
                  69,             0.05509,            0.010051,            0.008556,             0.70478,             0.97513,             0.76124,             0.51068,            0.034583,           0.0056004,           0.0037162,           0.0086536,           0.0086536,           0.0086536
                  70,            0.057937,            0.011429,           0.0093453,             0.58622,             0.82619,             0.68831,             0.29835,            0.032881,           0.0058272,           0.0035613,           0.0086338,           0.0086338,           0.0086338
                  71,            0.063844,           0.0094938,            0.010046,             0.98955,             0.97619,             0.97604,             0.48398,            0.039503,           0.0056938,           0.0034954,            0.008614,            0.008614,            0.008614
                  72,             0.06336,            0.011808,           0.0087021,             0.98955,             0.97619,             0.97604,             0.48398,            0.039503,           0.0056938,           0.0034954,           0.0085942,           0.0085942,           0.0085942
                  73,            0.064772,            0.012698,           0.0081205,              0.8007,             0.92571,             0.92015,              0.4768,             0.03693,           0.0057031,           0.0033623,           0.0085744,           0.0085744,           0.0085744
                  74,            0.058949,            0.011148,            0.011974,             0.99023,             0.97619,             0.97662,             0.66476,            0.026849,           0.0056084,           0.0033453,           0.0085546,           0.0085546,           0.0085546
                  75,            0.052693,           0.0096854,           0.0076155,             0.99571,             0.97597,             0.97617,             0.48192,            0.038376,           0.0059994,           0.0031139,           0.0085348,           0.0085348,           0.0085348
                  76,            0.067157,             0.01043,           0.0081518,             0.99571,             0.97597,             0.97617,             0.48192,            0.038376,           0.0059994,           0.0031139,            0.008515,            0.008515,            0.008515
                  77,            0.063353,            0.010058,           0.0068427,             0.99985,             0.97107,             0.97972,             0.47595,            0.037784,           0.0060559,           0.0030941,           0.0084952,           0.0084952,           0.0084952
                  78,            0.059146,            0.009634,           0.0065247,             0.56478,             0.97057,             0.86157,             0.46183,            0.028461,           0.0061218,           0.0032165,           0.0084754,           0.0084754,           0.0084754
                  79,            0.057281,           0.0095412,            0.011843,             0.79949,              0.9504,             0.84704,             0.50767,            0.034989,           0.0056269,           0.0029449,           0.0084556,           0.0084556,           0.0084556
                  80,             0.06102,            0.010766,           0.0075628,             0.79949,              0.9504,             0.84704,             0.50767,            0.034989,           0.0056269,           0.0029449,           0.0084358,           0.0084358,           0.0084358
                  81,            0.058879,             0.01063,           0.0086207,             0.81338,             0.90238,             0.84371,             0.50382,            0.033337,           0.0054696,           0.0028922,            0.008416,            0.008416,            0.008416
